버스정류장명,정류장번호,도로명주소,지번주소,위도,경도,기준일
문막공단(공단관리사무소),68420,,강원특별자치도 원주시 문막읍 반계리  5,37.29809,127.804013,2024-03-31
문막공단(토다이수),68421,,강원특별자치도 원주시 문막읍 반계리  5,37.298087,127.806655,2024-03-31
대둔마을회관,68422,,강원특별자치도 원주시 문막읍 대둔리 51,37.273138,127.770208,2024-03-31
사자골,68423,,강원특별자치도 원주시 문막읍 대둔리  180,37.283891,127.758484,2024-03-31
골무네기 경로당,68424,강원특별자치도 원주시 문막읍 황효자길 62-2,강원특별자치도 원주시 문막읍 반계리 957,37.287623,127.778377,2024-03-31
동아 떡방앗간,68425,강원특별자치도 원주시 문막읍 동건길 2,강원특별자치도 원주시 문막읍 동화리 686,37.322291,127.83601,2024-03-31
(주)엠제이푸드,68426,,강원특별자치도 원주시 문막읍 동화리  1469,37.320353,127.837658,2024-03-31
호수마을 전원주택단지입구,68427,,강원특별자치도 원주시 문막읍 건등리 185,37.315207,127.839332,2024-03-31
메나교,68428,,강원특별자치도 원주시 문막읍 건등리 137,37.312029,127.836983,2024-03-31
동경이 뒤뜰삼거리,68429,,강원특별자치도 원주시 문막읍 건등리 248,37.314286,127.832044,2024-03-31
항아리집,68430,,강원특별자치도 원주시 문막읍 건등리 241,37.317211,127.830582,2024-03-31
동화골삼거리,68431,강원특별자치도 원주시 문막읍 동화골길 21,강원특별자치도 원주시 문막읍 동화리 559,37.325132,127.845122,2024-03-31
동화골삼거리,68432,강원특별자치도 원주시 문막읍 동화골길 21,강원특별자치도 원주시 문막읍 동화리 559,37.325254,127.845048,2024-03-31
호적골,68433,,강원특별자치도 원주시 문막읍 동화리  328,37.322978,127.848163,2024-03-31
호적골,68434,,강원특별자치도 원주시 문막읍 동화리  334,37.322985,127.847961,2024-03-31
동화골 회차지,68435,,강원특별자치도 원주시 문막읍 동화리  284,37.321606,127.851678,2024-03-31
동화산업단지 관리사무소,68436,,강원특별자치도 원주시 문막읍 동화리 1670,37.334344,127.842447,2024-03-31
마현동(상),68437,강원특별자치도 원주시 문막읍 왕건로 274,강원특별자치도 원주시 문막읍 동화리 879,37.343402,127.835745,2024-03-31
